상품번호,상품명,자체 상품코드,카테고리ID,판매상태,상품상태,진열상태,판매가,무게,정가,재고사용,현재 재고수량,재고번호SKU,상품상세정보,상품URL,대표이미지URL,세금,미성년자 구매,개인통관고유부호,원산지,제조사,브랜드,배송템플릿 코드,배송템플릿 이름,배송국가,배송방법,택배,퀵배송,방문수령,배송비 결제방법,배송비 유형,기본 배송비,조건부 무료,무게별차등배송비기본가격,무게별차등배송비무게,무게별차등배송비가격,수량별차등배송비타입,수량별차등배송비기본가격,수량별차등배송비수량,수량별차등배송비가격,수량별차등배송비반복수량,수량별차등배송비반복가격,구매금액별차등배송비기본가격,구매금액별차등배송비구매금액,구매금액별차등배송비가격,묶음배송 가능,별도설치비,기본지역별 배송비 사용 여부,지역별 배송비 사용 여부,지역별 배송비 유형,간편설정(제주도 추가 배송비),간편설정(도서산간 추가 배송비),우편번호 등록(시작구간),우편번호 등록(종료구간),우편번호 등록(추가배송비),국내지역 등록(광역시/도),국내지역 등록(시/군/구),국내지역 등록(추가배송비),적립금설정,구매시적립금지급값,구매시적립금지급단위,할인적용대상,할인금액,할인금액단위,옵션사용,옵션형태,필수옵션명,필수옵션값,필수옵션재고수량합계,선택옵션명,선택옵션값,선택옵션재고수량합계,입력형옵션,0원선택옵션최대구매수량,재고소진후주문가능여부,네이버다음쇼핑노출용상품명,네이버 쇼핑 이벤트 문구,네이버 쇼핑 카테고리 ID,최소 구매수량,최대 구매수량,품목별 수량 제한,1인 최대 구매수량,주문제작상품,병행수입,해외구매대행,판매방식,다음쇼핑하우노출,네이버쇼핑노출,네이버페이,Facebook 다이내믹 광고 설정,크리테오,톡체크아웃,지그재그 연동 설정
83,GUILTY silver-green,,CATE5,판매중,신상품,Y,215000,3,,Y,5,10091,,https://c-o-e.kr/sun/?idx=83,https://cdn.imweb.me/thumbnail/20250317/a2494b4d6d02c.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),China,COE 코에,COE 코에,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,coe guilty-코에 길티 메탈 선글라스,,50000554,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
82,GUILTY gold-smoke,,CATE5,판매중,신상품,Y,215000,3,,Y,5,10092,,https://c-o-e.kr/sun/?idx=82,https://cdn.imweb.me/thumbnail/20250220/5fc561eea8eac.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),,COE 코에,COE 코에,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
81,GUILTY black-brown,,CATE5,판매중,신상품,Y,215000,3,,Y,5,10089,,https://c-o-e.kr/sun/?idx=81,https://cdn.imweb.me/thumbnail/20250220/70441b7341ad2.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),,,COE,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
80,GUILTY black-smoke,,CATE5,판매중,신상품,Y,215000,3,,Y,5,10090,,https://c-o-e.kr/sun/?idx=80,https://cdn.imweb.me/thumbnail/20250220/28a64d0bfae33.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),,,COE,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
79,UNLOVED silver-green,,CATE5,판매중,신상품,Y,215000,3,,Y,5,10086,,https://c-o-e.kr/sun/?idx=79,https://cdn.imweb.me/thumbnail/20250220/7ab2366ffa1ca.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),,,COE,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
78,UNLOVED gold-smoke,,CATE5,판매중,신상품,Y,215000,3,,Y,5,10087,,https://c-o-e.kr/sun/?idx=78,https://cdn.imweb.me/thumbnail/20250220/9d00fb62f7c42.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),,,COE,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
77,UNLOVED black-brown,,CATE5,판매중,신상품,Y,215000,3,,Y,5,10084,,https://c-o-e.kr/sun/?idx=77,https://cdn.imweb.me/thumbnail/20250220/eda05410cdba6.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),,,COE,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
76,UNLOVED black-smoke,,CATE5,판매중,신상품,Y,215000,3,,Y,5,10085,,https://c-o-e.kr/sun/?idx=76,https://cdn.imweb.me/thumbnail/20250220/773dbf7e11374.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),,,COE,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
75,UNLOVED silver,,CATE10,판매중,신상품,Y,215000,3,,Y,5,10124,,https://c-o-e.kr/eye/?idx=75,https://cdn.imweb.me/thumbnail/20250220/0cb6d8cb00d28.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),china,COE,COE,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
74,UNLOVED gold,,CATE10,판매중,신상품,Y,215000,3,,Y,5,10125,,https://c-o-e.kr/eye/?idx=74,https://cdn.imweb.me/thumbnail/20250220/9b189bf63de9e.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),china,COE,COE,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
73,UNLOVED black,,CATE10,판매중,신상품,Y,215000,3,,Y,5,10123,,https://c-o-e.kr/eye/?idx=73,https://cdn.imweb.me/thumbnail/20250220/9d6fc00d8773f.jpg,과세상품,Y,기본 방법을 따름 (쇼핑 환경설정),china,COE,COE,T2024091193ee774a130ae,배송 템플릿 A,대한민국,"택배, 소포, 등기",Y,N,N,선결제,조건부 무료,3000,50000,,,,,,,,,,,,,Y,N,Y,N,,,,,,,,,,기본 설정을 따름,,,,,,N,,,,,,,,,본상품 구매 수량만큼 구매 가능,N,,,,,,N,,N,N,N,소매,Y,Y,Y,Y,Y,Y,N
